,Name,Album,Artist,Year,Popularity,Duration,Tempo,Key,Valence,Liveness,Danceability,Instrumentalness,Acousticness,Energy
14,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019,88,182.16,109.891,1,0.446,0.105,0.501,0.0,0.751,0.405
54,Perfect,÷ (Deluxe),Ed Sheeran,2017,87,263.4,95.05,8,0.168,0.106,0.599,0.0,0.163,0.448
8,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019,87,194.08700000000002,135.128,7,0.562,0.1,0.701,0.13,0.328,0.425
68,The Nights,The Days / Nights,Avicii,2014,86,176.65800000000002,125.983,6,0.654,0.249,0.527,0.0,0.0166,0.835
99,Another Love,Long Way Down (Deluxe),Tom Odell,2013,86,244.36,122.769,4,0.131,0.0944,0.445,1.65e-05,0.695,0.537
53,All of Me,Love In The Future (Expanded Edition),John Legend,2013,86,269.56,119.93,8,0.331,0.132,0.422,0.0,0.922,0.264
1,Shape of You,÷ (Deluxe),Ed Sheeran,2017,86,233.71200000000002,95.977,1,0.931,0.0931,0.825,0.0,0.581,0.652
78,Adore You,Fine Line,Harry Styles,2019,85,207.133,99.048,8,0.569,0.102,0.676,7e-06,0.0237,0.771
5,Closer,Closer,The Chainsmokers,2016,85,244.96,95.01,8,0.661,0.111,0.748,0.0,0.414,0.524
7,Wake Me Up,True,Avicii,2013,85,247.42600000000002,124.08,2,0.643,0.161,0.532,0.0012,0.0038,0.783
29,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",Dan + Shay,2019,84,167.693,89.991,10,0.43,0.111,0.654,0.0,0.153,0.63
12,If the World Was Ending - feat. Julia Michaels,If the World Was Ending (feat. Julia Michaels),JP Saxe,2019,84,208.687,75.801,1,0.604,0.109,0.464,0.0,0.866,0.473
72,When I Was Your Man,Unorthodox Jukebox,Bruno Mars,2012,84,213.826,72.795,0,0.387,0.088,0.612,0.0,0.932,0.28
71,Take Me To Church,Hozier,Hozier,2014,84,241.68800000000002,128.945,4,0.437,0.116,0.566,0.0,0.634,0.664
23,Photograph,x (Deluxe Edition),Ed Sheeran,2014,84,258.986,107.989,4,0.201,0.0986,0.614,0.000464,0.607,0.379
52,Stereo Hearts (feat. Adam Levine),The Papercut Chronicles II,Gym Class Heroes,2011,83,210.96,89.99,9,0.796,0.267,0.646,0.0,0.0319,0.795
49,Let Me Down Slowly,Narrated For You,Alec Benjamin,2018,83,169.353,150.073,1,0.483,0.124,0.652,0.0,0.74,0.557
47,Counting Stars,Native,OneRepublic,2013,83,257.266,122.016,1,0.477,0.118,0.664,0.0,0.0654,0.705
2,"thank u, next","thank u, next",Ariana Grande,2019,83,207.32,106.966,1,0.412,0.101,0.717,0.0,0.229,0.653
140,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,2015,82,229.525,80.025,10,0.283,0.0649,0.689,1.03e-06,0.369,0.481
124,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,2019,82,219.946,101.956,6,0.842,0.0894,0.798,0.0,0.0912,0.675
63,Riptide,Dream Your Life Away,Vance Joy,2014,82,204.28,101.654,1,0.51,0.151,0.484,0.0,0.431,0.731
77,Youngblood,Youngblood (Deluxe),5 Seconds of Summer,2018,82,203.417,120.274,7,0.152,0.124,0.596,0.0,0.0169,0.854
81,Treat You Better,Illuminate,Shawn Mendes,2017,82,187.973,82.695,10,0.747,0.107,0.444,0.0,0.106,0.819
34,Payphone,Overexposed Track By Track,Maroon 5,2012,82,231.173,110.015,4,0.545,0.287,0.743,0.0,0.0188,0.752
10,Happier,÷ (Deluxe),Ed Sheeran,2017,82,207.52,89.792,0,0.236,0.135,0.522,0.0,0.536,0.385
145,The Middle,The Middle,Zedd,2018,82,184.732,107.01,7,0.437,0.112,0.753,0.0,0.171,0.657
13,Story of My Life,Midnight Memories (Deluxe),One Direction,2013,82,245.493,121.07,3,0.286,0.119,0.6,0.0,0.225,0.663
143,High Hopes,Pray for the Wicked,Panic! At The Disco,2018,82,190.946,82.014,5,0.681,0.064,0.579,0.0,0.193,0.904
19,Memories,Memories,Maroon 5,2019,82,189.486,91.019,11,0.575,0.0822,0.764,0.0,0.837,0.32
80,Little Talks,My Head Is An Animal,Of Monsters and Men,2012,81,266.6,102.961,1,0.417,0.146,0.457,0.0,0.0206,0.757
129,Classic,MKTO,MKTO,2012,81,175.42600000000002,102.071,1,0.756,0.157,0.72,0.0,0.0384,0.791
42,Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),ZAYN,2017,81,239.0,180.043,11,0.0967,0.106,0.258,1.27e-06,0.101,0.437
58,Silence,Silence,Marshmello,2017,81,180.822,141.971,4,0.286,0.17,0.52,4.96e-06,0.256,0.761
18,Be Alright,Be Alright,Dean Lewis,2018,81,196.373,126.684,11,0.443,0.0813,0.553,0.0,0.697,0.586
