,Name,Album,Artist,Year,Popularity,Duration,Tempo,Key,Valence,Liveness,Danceability,Instrumentalness,Acousticness,Energy
12,The Climb,The Climb,Bleu Orb,2021,21,223.5,80.028,6,0.462,0.189,0.718,0.834,0.174,0.439
0,abrupt / 4-2,abrupt / 4-2,Bharat Rajagopalan,2021,13,403.957,141.928,8,0.0568,0.11,0.532,0.912,0.172,0.691
1,Warm Waters,Warm Waters,MLLN,2021,12,234.668,90.263,6,0.359,0.138,0.54,0.039,0.786,0.4
19,Subdued,Chrysalism,Bleu Orb,2021,10,160.65800000000002,159.951,3,0.251,0.102,0.573,0.965,0.943,0.166
9,Summer,Summer,SAMAA,2020,8,203.023,172.11,0,0.621,0.113,0.74,0.0,0.589,0.402
7,2&II,2&II,Gokul,2021,6,175.81300000000002,86.062,0,0.174,0.271,0.59,0.869,0.00657,0.437
4,After Hours,After Hours,Bleu Orb,2021,6,274.211,88.011,7,0.163,0.101,0.641,0.61,0.964,0.295
3,Paper Kite,Paper Kite,Bharat Rajagopalan,2020,4,334.0,119.982,4,0.0598,0.116,0.34,0.836,0.238,0.411
21,Welcome to the Lobby,Chrysalism,Bleu Orb,2021,4,102.471,157.996,9,0.247,0.713,0.643,0.682,0.923,0.527
28,Thinking it over,Thinking it over,Sanjog Agarwal,2021,3,226.56,125.036,1,0.435,0.0446,0.604,0.0012,0.219,0.559
5,Scylla,Scylla,Blue Curtains Don't Mean Depression,2021,2,249.5,135.044,3,0.133,0.0803,0.427,1.23e-05,0.00392,0.974
6,The Edge of Ether,The Edge of Ether,Derick Martin,2020,1,275.302,181.766,9,0.305,0.0847,0.444,0.755,0.392,0.492
27,Jumpp!,Jumpp!,A-Jax,2020,1,202.645,127.975,6,0.154,0.36,0.717,0.179,0.0294,0.911
24,Origins,Origins,Devashish Gupta,2020,1,253.865,80.317,10,0.0778,0.09,0.247,0.982,0.962,0.163
26,Wake Up,Wake Up,Devashish Gupta,2020,0,257.165,112.021,6,0.037,0.603,0.36,0.93,0.873,0.273
25,Transit,Transit,Devashish Gupta,2020,0,233.644,150.249,9,0.0434,0.0963,0.147,0.891,0.955,0.388
23,Last Station,Chrysalism,Bleu Orb,2021,0,115.86500000000001,140.005,5,0.104,0.111,0.697,0.901,0.712,0.519
22,A Bit Tip-sea,Chrysalism,Bleu Orb,2021,0,84.081,106.732,2,0.125,0.128,0.474,0.888,0.952,0.395
20,Rebirth,Chrysalism,Bleu Orb,2021,0,132.711,79.954,0,0.0712,0.0984,0.503,0.943,0.954,0.207
15,Forks and Pocket,Chrysalism,Bleu Orb,2021,0,170.846,90.197,7,0.378,0.12,0.586,0.798,0.647,0.382
18,Take the Break (Interlude),Chrysalism,Bleu Orb,2021,0,86.711,93.259,4,0.0859,0.23,0.244,0.961,0.922,0.257
17,Crystal Clear,Chrysalism,Bleu Orb,2021,0,136.254,119.872,9,0.238,0.109,0.513,0.509,0.922,0.357
16,Washed Out,Chrysalism,Bleu Orb,2021,0,175.413,95.075,11,0.182,0.104,0.673,0.677,0.949,0.15
14,Chop Shop,Chrysalism,Bleu Orb,2021,0,172.225,180.001,3,0.193,0.0884,0.722,0.924,0.831,0.351
13,Jus' Misty,Jus' Misty,Bleu Orb,2020,0,153.615,79.983,10,0.151,0.101,0.544,0.805,0.655,0.167
11,Sacrosanct,Sacrosanct,Blue Curtains Don't Mean Depression,2020,0,182.769,195.035,8,0.209,0.131,0.283,0.856,0.000822,0.779
10,Without You,Without You,So-I,2020,0,154.985,194.933,2,0.458,0.0713,0.382,0.653,0.0904,0.765
8,Hiraeth,Hiraeth,Derick Martin,2021,0,131.206,129.968,10,0.539,0.096,0.499,0.931,0.151,0.529
2,Terminal Deception,Terminal Deception,Systemic Absence,2020,0,373.56100000000004,145.929,10,0.322,0.0805,0.469,0.0104,0.000765,0.965
29,Backfire,Backfire,Sanjog Agarwal,2020,0,195.229,128.002,9,0.229,0.647,0.592,0.728,0.0047,0.764
