,Name,Album,Artist,Year,Popularity,Duration,Tempo,Key,Valence,Liveness,Danceability,Instrumentalness,Acousticness,Energy
3,Wake Me Up,True,Avicii,2013,85,247.42600000000002,124.08,2,0.643,0.161,0.532,0.0012,0.0038,0.783
0,Happier,Happier,Marshmello,2018,84,214.28900000000002,100.015,5,0.671,0.167,0.687,0,0.191,0.792
1,Photograph,x (Deluxe Edition),Ed Sheeran,2014,84,258.986,107.989,4,0.201,0.0986,0.614,0.000464,0.607,0.379
8,Waiting For Love,Stories,Avicii,2015,81,230.613,127.999,6,0.613,0.198,0.579,0,0.31,0.736
2,A Thousand Years,A Thousand Years,Christina Perri,2011,80,285.12,139.028,10,0.161,0.11,0.421,0.000961,0.309,0.407
4,Don't You Worry Child - Radio Edit,Don't You Worry Child,Swedish House Mafia,2012,79,212.862,129.042,11,0.438,0.116,0.612,0,0.112,0.84
6,"Alone, Pt. II","Alone, Pt. II",Alan Walker,2019,79,179.052,88.033,3,0.608,0.133,0.67,0,0.536,0.668
18,Let It Be - Remastered 2009,Let It Be (Remastered),The Beatles,1970,78,243.026,143.462,0,0.41,0.111,0.443,0,0.631,0.403
10,Hey Brother,True,Avicii,2013,78,255.09300000000002,125.014,7,0.458,0.0828,0.545,4.64e-05,0.0309,0.78
7,Stranger Things (feat. OneRepublic) - Alan Walker Remix,Kids in Love (Remixes),Kygo,2018,63,178.413,106.947,0,0.729,0.217,0.659,0,0.146,0.742
19,Into The Sun - EP Version,Already Gone,Sons Of The East,2015,59,300.499,109.97,11,0.101,0.101,0.585,7.47e-05,0.585,0.348
16,Tum Jab Paas,Tum Jab Paas - Single,Prateek Kuhad,2017,58,235.93200000000002,122.1,6,0.471,0.113,0.751,1.62e-06,0.528,0.344
20,Divisionary,ERRA,ERRA,2021,52,221.739,114.983,8,0.391,0.366,0.511,0.00113,0.00031,0.988
15,Back To Me (feat. Micky Blue),Back To Me (feat. Micky Blue),KSHMR,2017,47,178.71,127.818,0,0.352,0.101,0.486,6.43e-06,0.00771,0.898
11,Clarity (feat. Foxes) - Tiësto Remix,"Club Life, Vol. 3 - Stockholm",Tiësto,2013,45,322.106,128.175,5,0.275,0.391,0.591,0.00435,0.00231,0.924
14,Big Chungus,Big Chungus,CG5,2018,45,118.896,105.014,9,0.922,0.109,0.846,4.63e-05,0.0785,0.723
17,Light Us Up (feat. Calum Scott),Light Us Up (feat. Calum Scott),Matrix & Futurebound,2017,39,228.0,172.07,8,0.628,0.135,0.471,0,0.0637,0.829
13,The Vision of Light,The Vision of Light,Aurora B.Polaris,2017,27,314.666,89.981,5,0.0847,0.116,0.476,0.00253,0.301,0.631
12,Zedd Medley,Zedd Medley,Cole Rolland,2017,17,205.38400000000001,130.05,8,0.303,0.219,0.527,0.919,0.00666,0.873
5,Zedd Medley,Zedd Medley,Cole Rolland,2017,17,205.38400000000001,130.05,8,0.303,0.219,0.527,0.919,0.00666,0.873
9,Levels - Radio Edit,Deviltime,Various Artists,2021,3,201.92000000000002,126.041,1,0.472,0.294,0.579,0.828,0.0484,0.887
