,Name,Album,Artist,Year,Popularity,Duration,Tempo,Key,Valence,Liveness,Danceability,Instrumentalness,Acousticness,Energy
0,Secrets,Waking Up,OneRepublic,2009,76,224.693,148.021,2,0.376,0.115,0.516,0,0.0717,0.764
23,blue,bandaids,keshi,2020,66,178.6,160.051,1,0.217,0.0956,0.513,1.62e-06,0.0701,0.563
12,Closure,Closure,Hayd,2021,64,196.27700000000002,124.168,2,0.35,0.292,0.696,0,0.967,0.106
2,Waqt Ki Baatein,Waqt Ki Baatein - Single,Dream Note,2018,61,243.31,145.004,4,0.216,0.112,0.555,0.056,0.916,0.205
22,Therapy,Nothing Personal (Deluxe Version),All Time Low,2009,60,224.20000000000002,169.871,9,0.196,0.135,0.313,0,0.0258,0.713
14,i wanna love somebody,"Dear Paranoia, Sincerely, Me",We Three,2020,59,233.616,155.922,9,0.519,0.088,0.591,0,0.121,0.682
4,Don't You Worry,Home Tapes,Oh Wonder,2020,57,219.88,130.266,9,0.544,0.0742,0.528,0,0.845,0.242
13,Always Be My Baby,Covers,Tim Halperin,2019,54,181.852,139.906,4,0.282,0.0889,0.574,0,0.778,0.255
15,Stars Are on Your Side,Stars Are on Your Side,Ross Copperman,2019,54,218.004,84.611,0,0.191,0.0976,0.255,0.000211,0.63,0.625
8,You Don't Love Me (Like You Used To),"Waking Up Is Hard To Do, 2019-2020",The Wldlfe,2020,52,266.15500000000003,116.98,5,0.588,0.116,0.683,0.00504,0.585,0.636
3,Even If the Sky Is Falling Down,Pretty Little Liar,Candelion,2019,47,164.744,120.071,2,0.658,0.126,0.808,3.33e-06,0.873,0.426
19,I Promised,Endings,Kayden,2018,44,235.09,110.075,7,0.374,0.161,0.733,2.51e-05,0.484,0.541
1,85% - Acoustic,85% (Acoustic),Loote,2019,44,160.666,137.113,7,0.693,0.102,0.61,0,0.621,0.519
5,Lay Down Beside You,Something together,Carl Storm,2020,44,186.352,84.963,11,0.475,0.105,0.639,0.00407,0.731,0.256
17,Where Will We Go,Wishes,Grant,2019,44,179.25,149.916,11,0.271,0.516,0.525,4.72e-06,0.353,0.499
24,The Day We Fell in Love,Singer Songwriter 5,Various Artists,2020,43,169.377,120.098,2,0.191,0.199,0.62,0,0.133,0.542
25,Best Year Yet,Best Year Yet,In Paradise,2017,42,180.854,105.169,0,0.293,0.165,0.62,0,0.397,0.447
18,Can't Help Falling in Love,Can't Help Falling in Love,Noah Young,2018,41,176.45600000000002,99.699,0,0.24,0.107,0.441,5.32e-05,0.966,0.183
9,Meteor Showers,Meteor Showers,Andy Kong,2015,41,254.721,121.869,3,0.264,0.101,0.526,4.76e-06,0.629,0.442
21,Letters,'90s Kids,LaPeer,2018,40,206.987,171.492,2,0.309,0.0884,0.293,0.000103,0.805,0.181
16,Rose,I'm Okay,Honest Men,2020,40,247.175,98.044,7,0.0985,0.0932,0.53,3.51e-05,0.606,0.241
11,Rain,Rain,Ben Rowley,2018,39,289.5,81.12,8,0.107,0.107,0.164,0.0204,0.825,0.124
28,"Never Say Goodbye (From ""Dil Bechara"")","Never Say Goodbye (From ""Dil Bechara"")",A.R. Rahman,2020,39,223.471,130.016,2,0.0693,0.202,0.581,0.000688,0.0841,0.448
20,Meer-E-Kaarwan,"Meer-E-Kaarwan (From ""Lucknow Central"")",Amit Mishra,2017,38,362.482,95.985,2,0.683,0.116,0.509,0.000108,0.415,0.804
26,Chameleon,Fable,Mako,2020,37,192.901,70.1,9,0.105,0.122,0.408,0,0.701,0.346
27,Make You Happy,Make You Happy,Matt Haughey,2019,37,252.401,65.252,7,0.141,0.131,0.567,0.000216,0.96,0.24
6,You,The Native Architects EP,The Native Architects,2017,34,289.781,106.025,7,0.274,0.173,0.577,0.0035,0.00219,0.581
29,You're the Only Reason Why,You're the Only Reason Why,Twin Tides,2017,32,267.361,97.746,9,0.199,0.138,0.408,0.0138,0.242,0.424
7,Bulletproof,Bulletproof,Boundary Run,2020,31,198.352,84.936,5,0.278,0.106,0.43,0.0016,0.962,0.21
10,Kids in Love,Kids In Love,Tellow,2017,27,181.062,144.939,11,0.138,0.11,0.532,0.000253,0.408,0.298
