,Name,Album,Artist,Year,Popularity,Duration,Tempo,Key,Valence,Liveness,Danceability,Instrumentalness,Acousticness,Energy
0,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,2005,84,218.09300000000002,100.024,10,0.758,0.405,0.778,0,0.284,0.824
1,This Is What You Came For (feat. Rihanna),This Is What You Came For (feat. Rihanna),Calvin Harris,2016,82,222.16,123.962,9,0.465,0.148,0.631,0.119,0.199,0.927
31,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Planet Pit (Deluxe Version),Pitbull,2011,82,252.306,129.024,8,0.53,0.298,0.671,0,0.191,0.939
21,Feel So Close - Radio Edit,18 Months,Calvin Harris,2012,81,206.413,127.937,7,0.919,0.204,0.707,0.00703,0.000972,0.924
14,Timber (feat. Ke$ha),Global Warming: Meltdown (Deluxe Version),Pitbull,2012,81,204.16,129.992,11,0.788,0.139,0.581,0,0.0295,0.963
3,Sorry,Purpose (Deluxe),Justin Bieber,2015,80,200.786,99.945,0,0.41,0.299,0.654,0,0.0797,0.76
5,Lush Life,So Good,Zara Larsson,2017,78,201.122,98.023,7,0.799,0.211,0.694,0,0.132,0.712
2,Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),Fifth Harmony,2016,78,214.48000000000002,105.017,8,0.593,0.0644,0.803,3.94e-06,0.103,0.585
8,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016,77,251.088,101.965,9,0.742,0.18,0.72,0,0.406,0.763
12,X,Intimo,Nicky Jam,2019,76,172.854,179.968,9,0.694,0.3,0.594,0.00106,0.0338,0.749
6,Chantaje (feat. Maluma),El Dorado,Shakira,2017,76,195.84,102.034,8,0.907,0.159,0.852,3.05e-05,0.187,0.773
30,Side To Side,Dangerous Woman,Ariana Grande,2016,75,226.16,159.174,6,0.612,0.235,0.65,0,0.0513,0.736
7,Clarity,Clarity,Zedd,2012,75,271.426,128.0,8,0.176,0.0749,0.509,0,0.0398,0.781
9,Say My Name,7,David Guetta,2018,74,198.946,95.031,10,0.79,0.192,0.703,0,0.137,0.66
4,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),This One's for You (feat. Zara Larsson) [Official Song UEFA EURO 2016],David Guetta,2016,74,207.272,110.169,9,0.365,0.0905,0.367,5.81e-05,0.0022,0.915
11,Ain't Your Mama,Ain't Your Mama,Jennifer Lopez,2016,72,218.234,120.075,8,0.82,0.0654,0.757,9.14e-06,0.0472,0.678
22,Beautiful Now,True Colors,Zedd,2015,71,218.293,128.003,11,0.56,0.074,0.628,1.48e-05,0.0079,0.833
15,Sexy And I Know It,Sorry For Party Rocking,LMFAO,2011,69,199.48000000000002,130.021,7,0.795,0.191,0.707,0,0.1,0.861
18,365,365,Zedd,2019,69,181.899,98.039,2,0.248,0.123,0.745,0,0.339,0.693
17,Rain Over Me (feat. Marc Anthony),Planet Pit (Deluxe Version),Pitbull,2011,68,231.573,127.916,0,0.294,0.758,0.61,0,0.00416,0.906
29,Cheap Thrills (feat. Sean Paul),This Is Acting,Sia,2016,66,224.81300000000002,89.972,6,0.728,0.0775,0.592,2.01e-06,0.0561,0.8
16,Proper Patola,Namaste England (Original Motion Picture Soundtrack),Mannan Shaah,2018,65,178.604,172.006,1,0.49,0.318,0.77,0,0.485,0.824
20,Mi Gente (feat. Beyoncé),Mi Gente (feat. Beyoncé),J Balvin,2017,65,209.733,105.021,11,0.469,0.231,0.759,0,0.0223,0.716
23,Forbidden Voices,Forbidden Voices,Martin Garrix,2015,63,230.63400000000001,128.102,10,0.3,0.135,0.534,0.0031,0.05,0.711
10,Complicated (feat. Kiiara),Complicated (feat. Kiiara),Dimitri Vegas & Like Mike,2017,63,184.247,90.004,8,0.499,0.159,0.678,0,0.191,0.819
32,New Rules,Dua Lipa (Complete Edition),Dua Lipa,2015,55,209.32,116.073,9,0.608,0.153,0.762,1.56e-05,0.00261,0.7
28,Snakes,Snakes,Sikdope,2016,52,174.375,128.013,11,0.0794,0.183,0.86,0.722,0.0262,0.956
25,To Brazil!,Parada de Tettas,Vengaboys,1997,51,187.376,137.015,0,0.965,0.196,0.591,0.746,0.00122,0.824
26,Bomb A Drop,Bomb A Drop,Garmiani,2016,51,158.554,128.034,7,0.483,0.387,0.675,0.221,0.0022,0.992
13,Billionera - ExMAD Remix,Car Music Playlist #3 (Boosted Bass),Otilia,2020,44,170.05700000000002,100.03,6,0.264,0.729,0.746,0.142,0.326,0.477
24,Crackin - Martin Garrix Edit,Crackin (Martin Garrix Edit),Bassjackers,2014,33,262.478,192.017,1,0.212,0.374,0.396,0.793,0.000118,0.874
19,Lak 28 Kudi Da,The Lion Of Punjab,Diljit Dosanjh,2011,31,211.52,125.018,0,0.822,0.341,0.802,2.67e-05,0.071,0.992
27,Hey Ho,"Bombsquad, Vol. 1 (Mixed by Bombs Away & Tenzin)",Various Artists,2014,18,243.427,127.991,0,0.162,0.0975,0.775,0.286,0.00214,0.942
