,Name,Album,Artist,Year,Popularity,Duration,Tempo,Key,Valence,Liveness,Danceability,Instrumentalness,Acousticness,Energy
5,Makhna,"Makhna (From ""Drive"")",Tanishk Bagchi,2019,69,183.0,124.972,1,0.426,0.155,0.696,0.0,0.167,0.704
1,"Ghungroo (From ""War"")","Ghungroo (From ""War"")",Arijit Singh,2019,68,302.935,118.034,6,0.864,0.533,0.695,0.000175,0.0744,0.727
7,Zaalima,Raees,Various Artists,2017,67,299.333,88.335,9,0.648,0.0886,0.486,0.0,0.309,0.898
16,Genda Phool (feat. Payal Dev),Genda Phool (feat. Payal Dev),Badshah,2020,66,170.769,116.977,1,0.837,0.0704,0.955,0.00146,0.132,0.538
11,Kabhi Kabhi Aditi,Jaane Tu... Ya Jaane Na,A.R. Rahman,2008,64,218.836,95.077,7,0.872,0.0859,0.791,0.0,0.276,0.558
2,Naina Da Kya Kasoor,Andhadhun,Amit Trivedi,2018,63,210.951,125.965,9,0.547,0.0782,0.845,0.0129,0.159,0.659
19,Ilahi,Yeh Jawaani Hai Deewani,Pritam,2013,62,228.982,131.988,9,0.452,0.105,0.593,2.54e-05,0.166,0.967
3,"Tum Hi Ho Bandhu (From ""Cocktail"")",Cocktail,Pritam,2012,61,282.012,134.997,11,0.899,0.0462,0.714,0.000817,0.00145,0.892
21,Uff Teri Adaa,Karthik Calling Karthik,Shankar-Ehsaan-Loy,2010,61,304.088,132.032,2,0.306,0.054,0.647,5.82e-05,0.00536,0.792
4,Matargashti,Tamasha,A.R. Rahman,2015,59,328.052,100.022,0,0.659,0.0758,0.792,0.0,0.102,0.63
9,"Mileya Mileya (From ""Happy Ending)",Happy Ending (Original Motion Picture Soundtrack),Sachin-Jigar,2014,58,266.278,124.968,0,0.399,0.129,0.727,0.021,0.22,0.458
14,Sooraj Ki Baahon Mein,Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy,2011,58,202.919,124.922,11,0.874,0.0942,0.855,5.19e-06,0.19,0.553
0,"Aankh Marey (From ""Simmba"")","Aankh Marey (From ""Simmba"")",Various Artists,2018,57,212.741,129.999,5,0.8,0.346,0.796,0.00254,0.289,0.978
25,Ik Junoon (Paint It Red),Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy,2011,56,299.119,127.034,2,0.641,0.148,0.79,0.00147,0.364,0.848
10,Dil Dhadakne Do,Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy,2011,56,230.318,116.951,2,0.949,0.59,0.778,0.0,0.0705,0.599
6,Kar Gayi Chull,The Badshah of Party Hits,Badshah,2017,56,187.71,121.99,11,0.873,0.211,0.827,0.000322,0.0316,0.737
8,"Pani Da Rang Male (From ""Vicky Donor"")",Vicky Donor,Various Artists,2012,55,240.786,98.028,4,0.483,0.106,0.679,6.52e-05,0.272,0.622
13,Manwa Laage,Happy New Year,Various Artists,2014,53,272.082,81.046,0,0.572,0.0885,0.676,0.0,0.568,0.671
12,Gulaabo,Shaandaar,Amit Trivedi,2015,51,264.41700000000003,146.036,11,0.751,0.085,0.767,4.39e-05,0.096,0.64
24,Adhoore,Break Ke Baad,Vishal-Shekhar,2010,51,264.21,107.993,0,0.673,0.126,0.799,1.5e-06,0.0858,0.542
23,Jab Mila Tu,I Hate Luv Storys (Original Motion Picture Soundtrack),Vishal-Shekhar,2010,49,251.853,167.916,9,0.794,0.304,0.626,0.0,0.0482,0.561
17,Galti Se Mistake,Jagga Jasoos,Pritam,2017,46,203.076,195.237,11,0.71,0.164,0.438,0.0,0.0173,0.797
20,"Jaane Kyun (From ""Dostana"")",Best of Me Vishal Shekhar,Vishal-Shekhar,2013,45,277.986,99.962,4,0.791,0.243,0.778,8.28e-06,0.0573,0.812
18,"Radha (From ""Jab Harry Met Sejal"")","Radha (From ""Jab Harry Met Sejal"")",Pritam,2017,44,301.889,126.995,7,0.854,0.195,0.693,0.0,0.31,0.896
22,Ajab Leher,Break Ke Baad,Vishal-Shekhar,2010,39,242.12,96.012,8,0.967,0.218,0.746,0.000133,0.252,0.812
15,Chor Bazaari (Remix),Love Aaj Kal,Pritam,2009,25,204.04,110.008,11,0.97,0.324,0.813,0.006,0.0914,0.847
