,Name,Album,Artist,Year,Popularity,Duration,Tempo,Key,Valence,Liveness,Danceability,Instrumentalness,Acousticness,Energy
18,Robbery,Death Race For Love,Juice WRLD,2019,85,240.05,159.966,2,0.578,0.153,0.685,0.0,0.328,0.692
2,Wake Me Up,True,Avicii,2013,85,247.42600000000002,124.08,2,0.643,0.161,0.532,0.0012,0.0038,0.783
33,Pumped Up Kicks,Torches,Foster The People,2011,84,239.6,127.975,5,0.965,0.0956,0.733,0.115,0.145,0.71
8,SLOW DANCING IN THE DARK,BALLADS 1,Joji,2018,83,209.273,88.964,3,0.284,0.191,0.515,0.00598,0.544,0.479
34,willow,evermore,Taylor Swift,2020,81,214.70600000000002,81.112,7,0.529,0.145,0.392,0.00179,0.833,0.574
15,Sultans Of Swing,Dire Straits,Dire Straits,1978,80,348.40000000000003,148.174,5,0.931,0.33,0.733,0.0367,0.0614,0.794
13,What's Up?,"Bigger, Better, Faster, More !",4 Non Blondes,1992,80,295.533,134.355,2,0.454,0.114,0.565,0.0,0.161,0.564
31,I Want It That Way,Millennium,Backstreet Boys,1999,79,213.306,99.039,6,0.482,0.148,0.689,0.0,0.257,0.694
26,Baby,My World 2.0,Justin Bieber,2010,79,214.24,65.043,5,0.535,0.111,0.728,0.0,0.0401,0.859
25,Fireflies,Ocean Eyes,Owl City,2009,79,228.346,180.114,3,0.472,0.118,0.512,0.0,0.0275,0.662
11,Nothing Else Matters,Metallica,Metallica,1991,79,388.266,142.352,4,0.158,0.075,0.553,6.01e-06,0.0458,0.362
20,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Daft Punk,2013,79,248.413,116.047,6,0.862,0.101,0.794,1.07e-06,0.0426,0.811
29,On Melancholy Hill,Plastic Beach,Gorillaz,2010,76,233.866,120.423,2,0.578,0.064,0.689,0.509,1.51e-05,0.739
6,Who (feat. BTS),~how i'm feeling~,Lauv,2020,75,180.413,141.641,11,0.0818,0.104,0.632,0.0,0.551,0.345
22,Feeling Good,I Put A Spell On You,Nina Simone,1965,75,174.0,79.206,7,0.546,0.191,0.399,0.0,0.864,0.326
36,Killer Queen - Remastered 2011,Sheer Heart Attack (Deluxe Edition 2011 Remaster),Queen,1974,72,179.6,117.218,10,0.612,0.133,0.535,0.0,0.391,0.651
5,my tears ricochet,folklore,Taylor Swift,2020,71,255.893,129.86,0,0.111,0.0749,0.456,0.0,0.806,0.263
35,I Know The End,Punisher,Phoebe Bridgers,2020,67,344.692,111.453,1,0.259,0.234,0.328,0.019,0.324,0.32
12,Battle Symphony,One More Light,Linkin Park,2017,64,216.281,149.034,10,0.669,0.068,0.653,0.0,0.0369,0.839
14,Forbidden Voices,Forbidden Voices,Martin Garrix,2015,63,230.63400000000001,128.102,10,0.3,0.135,0.534,0.0031,0.05,0.711
16,The Killing Moon,Ocean Rain (Expanded; 2007 Remaster),Echo & the Bunnymen,1984,61,348.293,124.201,7,0.79,0.0976,0.568,0.00418,0.218,0.829
10,Drunk Drivers/Killer Whales,Teens Of Denial,Car Seat Headrest,2016,61,374.653,117.101,2,0.459,0.103,0.537,2.1e-06,0.218,0.414
21,Hikaru Nara (Shigatsu Wa Kimi No Uso) [feat. Animelmack],Hikaru Nara (Shigatsu Wa Kimi No Uso) [feat. Animelmack],Berioska,2019,60,251.821,159.95,6,0.791,0.238,0.512,0.0418,0.576,0.738
4,Thief,Thief,Ansel Elgort,2017,60,220.68,180.038,1,0.379,0.111,0.592,0.0,0.0251,0.741
32,Hurdy Gurdy Man,The Hurdy Gurdy Man,Donovan,1968,60,193.466,79.451,0,0.542,0.392,0.405,0.0442,0.00379,0.463
30,Leave It In My Dreams,Virtue,The Voidz,2018,59,239.441,118.551,4,0.614,0.109,0.6,0.0119,0.0226,0.746
19,Stick Up,a modern tragedy vol. 1,grandson,2018,58,222.56,135.944,11,0.304,0.349,0.31,3.71e-06,0.000261,0.932
3,BoRdErSz,Mind Of Mine (Deluxe Edition),ZAYN,2016,57,239.20000000000002,91.008,7,0.328,0.0984,0.627,0.0319,0.377,0.442
9,Verge,Mobile Orchestra,Owl City,2015,57,213.026,127.977,2,0.206,0.114,0.546,1.17e-06,0.000181,0.744
27,Echoes,Meddle,Pink Floyd,1971,57,1412.451,134.042,6,0.142,0.107,0.285,0.651,0.366,0.322
28,Sunlight,"Wasteland, Baby!",Hozier,2019,54,257.346,115.349,7,0.368,0.106,0.464,0.000176,0.368,0.559
0,Lazarus,Deadwing,Porcupine Tree,2005,51,258.586,171.961,9,0.337,0.177,0.354,0.655,0.203,0.581
1,Some Things,Thought Pool,Verzache,2018,50,219.428,104.999,11,0.1,0.0946,0.503,0.000686,0.4,0.331
24,Lune,Periphery III: Select Difficulty,Periphery,2016,39,467.01300000000003,134.99,5,0.337,0.0943,0.488,0.000501,0.00208,0.851
17,Ground Control To Major Tom,Higher Places,Michael John Hall,2008,28,215.586,74.919,0,0.0848,0.122,0.358,0.889,0.99,0.0151
7,Tired of Being Alone,Gets Next To You,Al Green,1967,23,172.32,97.964,7,0.617,0.0753,0.772,0.00541,0.339,0.397
23,Here,Outlaws,Every King & Commoner,2018,0,229.687,127.847,7,0.357,0.305,0.599,0.0,0.272,0.618
