,Name,Album,Artist,Year,Popularity,Duration
0,In the End,Hybrid Theory (Bonus Edition),Linkin Park,2000,84,216.88
1,Numb,Meteora (Bonus Edition),Linkin Park,2003,68,185.586
2,What I've Done,Minutes to Midnight,Linkin Park,2007,77,205.613
3,BURN IT DOWN,LIVING THINGS,Linkin Park,2012,74,230.25300000000001
4,Crawling,Hybrid Theory (Bonus Edition),Linkin Park,2000,73,208.96
5,Breaking the Habit,Meteora (Bonus Edition),Linkin Park,2003,69,196.906
6,Leave Out All The Rest,Minutes to Midnight,Linkin Park,2007,69,209.306
7,One Step Closer,Hybrid Theory (Bonus Edition),Linkin Park,2000,76,157.333
8,CASTLE OF GLASS,LIVING THINGS,Linkin Park,2012,73,205.4
9,Shadow of the Day,Minutes to Midnight,Linkin Park,2007,67,290.36
10,Waiting for the End,A Thousand Suns,Linkin Park,2010,62,231.68
11,Heavy (feat. Kiiara),One More Light,Linkin Park,2017,69,169.8
12,One More Light,One More Light,Linkin Park,2017,72,255.066
13,Iridescent,A Thousand Suns,Linkin Park,2010,61,296.56
14,LOST IN THE ECHO,LIVING THINGS,Linkin Park,2012,66,205.12
15,Good Goodbye (feat. Pusha T and Stormzy),One More Light,Linkin Park,2017,64,211.413
16,Talking to Myself,One More Light,Linkin Park,2017,63,231.306
17,Battle Symphony,One More Light,Linkin Park,2017,64,216.281
18,ROADS UNTRAVELED,LIVING THINGS,Linkin Park,2012,64,229.933
19,Sharp Edges,One More Light,Linkin Park,2017,58,178.20000000000002
20,IN MY REMAINS,LIVING THINGS,Linkin Park,2012,62,200.693
21,Nobody Can Save Me,One More Light,Linkin Park,2017,62,225.546
22,Invisible,One More Light,Linkin Park,2017,61,214.346
23,POWERLESS,LIVING THINGS,Linkin Park,2012,60,224.466
24,Papercut,Hybrid Theory (20th Anniversary Edition),Linkin Park,2020,64,184.866
25,Crawling,Hybrid Theory (20th Anniversary Edition),Linkin Park,2020,65,208.96
26,A Place for My Head,Hybrid Theory (20th Anniversary Edition),Linkin Park,2020,61,184.64000000000001
27,Sorry for Now,One More Light,Linkin Park,2017,56,203.653
28,Halfway Right,One More Light,Linkin Park,2017,55,217.066
29,I'LL BE GONE,LIVING THINGS,Linkin Park,2012,54,211.09300000000002
30,VICTIMIZED,LIVING THINGS,Linkin Park,2012,49,106.36
31,SKIN TO BONE,LIVING THINGS,Linkin Park,2012,52,168.346
32,UNTIL IT BREAKS,LIVING THINGS,Linkin Park,2012,48,223.4
33,Waiting for the End,A Thousand Suns,Linkin Park,2010,38,231.68
34,Iridescent,A Thousand Suns,Linkin Park,2010,38,296.56
35,The Catalyst,A Thousand Suns,Linkin Park,2010,34,339.853
36,The Messenger,A Thousand Suns,Linkin Park,2010,33,181.893
37,Leave Out All The Rest,Minutes to Midnight,Linkin Park,2007,55,209.306
38,Bleed It Out,Minutes to Midnight,Linkin Park,2007,56,164.76
39,What I've Done,Minutes to Midnight,Linkin Park,2007,55,205.613
40,Valentine's Day,Minutes to Midnight,Linkin Park,2007,46,196.81300000000002
41,No More Sorrow,Minutes to Midnight,Linkin Park,2007,48,221.72
42,Faint,Meteora (Bonus Edition),Linkin Park,2003,69,162.6
43,My December,Hybrid Theory (Bonus Edition),Linkin Park,2000,62,260.56
44,Pushing Me Away,Hybrid Theory (Bonus Edition),Linkin Park,2000,61,191.44
45,BURN IT DOWN,LIVING THINGS,Linkin Park,2012,74,230.25300000000001
46,Somewhere I Belong,Meteora (Bonus Edition),Linkin Park,2003,71,213.933
47,New Divide,Iridescent,Linkin Park,2007,59,268.613
48,From the Inside,Meteora (Bonus Edition),Linkin Park,2003,66,173.933
49,Final Masquerade,The Hunting Party,Linkin Park,2014,64,217.613
50,Until It's Gone,The Hunting Party,Linkin Park,2014,60,233.24
