,Name,Album,Artist,Year,Popularity,Duration,Tempo,Key,Valence,Liveness,Danceability,Instrumentalness,Acousticness,Energy
1,good 4 u,SOUR,Olivia Rodrigo,2021,99,178.14600000000002,166.928,9,0.688,0.0849,0.563,0.0,0.335,0.664
2,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021,98,198.08100000000002,90.03,0,0.464,0.42,0.677,0.0,0.321,0.696
21,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021,98,208.866,110.968,8,0.742,0.123,0.762,0.000158,0.235,0.701
47,deja vu,SOUR,Olivia Rodrigo,2021,95,215.506,180.917,2,0.178,0.37,0.442,5.7e-06,0.584,0.612
26,traitor,SOUR,Olivia Rodrigo,2021,95,229.226,100.607,3,0.0849,0.12,0.38,0.0,0.691,0.339
9,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,2021,95,191.013,118.091,0,0.593,0.0936,0.65,2.44e-05,0.0215,0.825
38,Leave The Door Open,Leave The Door Open,Bruno Mars,2021,95,242.096,148.088,5,0.719,0.0927,0.586,0.0,0.182,0.616
60,Blinding Lights,After Hours,The Weeknd,2020,94,200.04,171.005,1,0.334,0.0897,0.514,9.54e-05,0.00146,0.73
4,Build a Bitch,Build a Bitch,Bella Poarch,2021,93,122.772,102.931,3,0.866,0.347,0.855,1.77e-05,0.217,0.463
56,Levitating (feat. DaBaby),Levitating (feat. DaBaby),Dua Lipa,2020,92,203.064,102.977,6,0.915,0.0674,0.702,0.0,0.00883,0.825
35,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,2020,92,160.191,83.97,11,0.553,0.203,0.653,0.0,0.112,0.524
0,Bad Habits,Bad Habits,Ed Sheeran,2021,91,231.041,126.026,11,0.591,0.364,0.808,3.14e-05,0.0469,0.897
57,Watermelon Sugar,Fine Line,Harry Styles,2019,91,174.0,95.39,0,0.557,0.335,0.548,0.0,0.122,0.816
25,Your Love (9PM),Your Love (9PM),ATB,2021,90,150.052,125.993,7,0.517,0.115,0.669,6.28e-06,0.194,0.784
43,Your Power,Your Power,Billie Eilish,2021,89,245.89600000000002,129.65,9,0.203,0.232,0.634,0.000359,0.937,0.285
40,Streets,Hot Pink,Doja Cat,2019,89,226.98600000000002,90.028,11,0.19,0.337,0.749,0.0371,0.208,0.463
12,Run,Run,OneRepublic,2021,89,169.01,117.003,11,0.673,0.148,0.682,0.0,0.326,0.72
50,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),Galantis,2021,89,183.725,124.111,1,0.479,0.0608,0.595,0.0,0.216,0.784
10,Lost Cause,Lost Cause,Billie Eilish,2021,89,212.496,75.051,10,0.518,0.0577,0.671,0.00751,0.705,0.336
7,Leave Before You Love Me (with Jonas Brothers),Leave Before You Love Me,Marshmello,2021,88,154.983,119.976,7,0.637,0.118,0.721,4.41e-06,0.00226,0.738
49,34+35,Positions,Ariana Grande,2020,87,173.71,109.978,0,0.485,0.248,0.83,0.0,0.237,0.585
67,Hold On,Hold On,Justin Bieber,2021,87,170.81300000000002,139.98,1,0.29,0.132,0.658,0.0,0.0106,0.634
5,Solar Power,Solar Power,Lorde,2021,87,192.621,87.971,4,0.897,0.32,0.735,0.000105,0.266,0.47
16,We're Good,Future Nostalgia (The Moonlight Edition),Dua Lipa,2021,87,165.506,134.01,6,0.59,0.183,0.722,0.0,0.0319,0.588
33,You Right,Planet Her,Doja Cat,2021,86,186.173,128.986,8,0.436,0.0845,0.828,0.00233,0.0164,0.621
66,Breaking Me,Breaking Me,Topic,2019,86,166.793,122.031,8,0.664,0.129,0.789,0.0,0.223,0.72
11,Beautiful Mistakes (feat. Megan Thee Stallion),Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,2021,86,227.395,99.048,10,0.721,0.154,0.713,0.0,0.0377,0.676
17,Need To Know,Need To Know,Doja Cat,2021,86,210.56,130.041,1,0.194,0.0926,0.664,0.0,0.304,0.609
22,SUN GOES DOWN,SUN GOES DOWN,Lil Nas X,2021,85,168.275,174.065,2,0.148,0.112,0.551,4.28e-06,0.0837,0.636
3,You,You,Regard,2021,85,233.386,106.064,0,0.514,0.0647,0.691,0.0,0.0592,0.695
18,Our Song,Our Song,Anne-Marie,2021,85,163.733,80.953,11,0.515,0.172,0.595,0.0,0.141,0.759
45,Heat Waves,Dreamland,Glass Animals,2020,85,238.805,80.87,11,0.531,0.0921,0.761,6.7e-06,0.44,0.525
54,WITHOUT YOU (with Miley Cyrus),WITHOUT YOU (with Miley Cyrus),The Kid LAROI,2021,84,161.38400000000001,92.56,0,0.467,0.0956,0.655,0.0,0.173,0.469
53,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),Surf Mesa,2019,84,176.546,112.05,11,0.33,0.393,0.674,0.00188,0.0686,0.774
51,Reckless,Reckless,Madison Beer,2021,82,203.38400000000001,180.104,3,0.261,0.14,0.386,0.0,0.807,0.426
30,Prisoner (feat. Dua Lipa),Prisoner (feat. Dua Lipa),Miley Cyrus,2020,81,169.333,127.99,3,0.595,0.0761,0.781,0.0,0.0103,0.67
61,Monster (Shawn Mendes & Justin Bieber),Monster,Shawn Mendes,2020,81,178.994,145.765,2,0.549,0.0828,0.652,0.0,0.0676,0.383
6,I Don't Do Drugs (feat. Ariana Grande),Planet Her,Doja Cat,2021,80,188.893,77.014,5,0.45,0.154,0.683,8.25e-06,0.222,0.615
55,Secrets,Secrets,Regard,2020,80,176.766,118.961,6,0.777,0.195,0.848,0.000785,0.0412,0.768
32,Wonder,Wonder,Shawn Mendes,2020,79,172.692,139.898,1,0.132,0.149,0.333,1.8e-05,0.131,0.637
65,Midnight Sky,Midnight Sky,Miley Cyrus,2020,79,223.279,110.0,4,0.259,0.203,0.705,0.00312,0.00115,0.814
20,Dancing In The Moonlight (feat. NEIMY),Dancing In The Moonlight (feat. NEIMY),Jubël,2018,79,164.00900000000001,119.843,11,0.193,0.187,0.659,0.0,0.27,0.615
14,EveryTime I Cry,EveryTime I Cry,Ava Max,2021,79,177.855,127.035,9,0.213,0.0615,0.727,0.0,0.181,0.832
