,Name,Album,Artist,Year,Popularity,Duration,Tempo,Key,Valence,Liveness,Danceability,Instrumentalness,Acousticness,Energy
2,I Like Me Better,I met you when I was 18. (the playlist),Lauv,2018,83,197.436,91.97,9,0.419,0.104,0.752,2.55e-06,0.535,0.505
10,Who (feat. BTS),~how i'm feeling~,Lauv,2020,75,180.413,141.641,11,0.0818,0.104,0.632,0,0.551,0.345
7,Never Not,I met you when I was 18. (the playlist),Lauv,2018,74,208.0,133.714,5,0.264,0.104,0.47,0,0.693,0.221
11,Fake,Fake,Lauv,2020,74,146.375,82.96,4,0.455,0.093,0.703,0,0.139,0.657
15,Make It Right (feat. Lauv),Make It Right (feat. Lauv),BTS,2019,73,226.321,97.551,7,0.345,0.189,0.584,0,0.0304,0.685
5,Paris in the Rain,I met you when I was 18. (the playlist),Lauv,2018,71,204.71200000000002,76.309,3,0.528,0.394,0.426,7.88e-06,0.771,0.408
34,Sweet & Sour (feat. Lauv & Tyga),Sweet & Sour (feat. Lauv & Tyga),Jawsh 685,2020,69,163.228,95.003,1,0.679,0.258,0.827,1.35e-05,0.092,0.73
19,Slow Grenade,Slow Grenade,Ellie Goulding,2020,67,217.493,142.035,9,0.581,0.0996,0.758,0,0.0996,0.562
28,The Story Never Ends,I met you when I was 18. (the playlist),Lauv,2018,66,229.029,119.945,9,0.351,0.148,0.614,0,0.911,0.126
6,if i were u (with Lauv),if i were u (with Lauv),blackbear,2020,65,186.46800000000002,82.992,8,0.767,0.189,0.666,0,0.144,0.628
30,I Like Me Better - Recorded at Spotify Studios NYC,Spotify Singles,Lauv,2017,64,202.684,90.187,9,0.362,0.0792,0.454,0,0.777,0.151
24,Superhero,Superhero,Lauv,2018,64,179.997,129.98,7,0.417,0.285,0.681,0,0.82,0.34
21,The Other,I met you when I was 18. (the playlist),Lauv,2018,63,189.333,179.629,7,0.384,0.0788,0.38,2.63e-06,0.421,0.553
14,Chasing Fire,I met you when I was 18. (the playlist),Lauv,2018,62,205.267,125.965,5,0.386,0.217,0.709,0,0.0449,0.562
41,Comfortable,I met you when I was 18. (the playlist),Lauv,2018,62,165.102,140.235,9,0.546,0.0903,0.433,0,0.763,0.554
43,Julia,~how i'm feeling~,Lauv,2020,62,218.0,162.487,11,0.333,0.152,0.458,0,0.906,0.13
26,Breathe,I met you when I was 18. (the playlist),Lauv,2018,62,237.81,136.746,4,0.193,0.341,0.32,0,0.728,0.393
25,Enemies,I met you when I was 18. (the playlist),Lauv,2018,61,194.754,126.025,3,0.601,0.122,0.696,0,0.175,0.693
8,2021,2021,Lauv,2020,60,195.952,113.972,0,0.344,0.108,0.849,2.21e-05,0.685,0.489
35,Invisible Things,~how i'm feeling~,Lauv,2020,60,197.306,125.311,7,0.279,0.141,0.733,7.59e-06,0.0833,0.552
18,Lonely Eyes,~how i'm feeling~,Lauv,2020,59,196.493,95.014,2,0.369,0.0994,0.586,0,0.0418,0.499
36,Getting Over You,I met you when I was 18. (the playlist),Lauv,2018,59,255.88500000000002,91.984,0,0.114,0.0943,0.604,2.27e-06,0.273,0.507
37,Reforget,I met you when I was 18. (the playlist),Lauv,2018,57,231.67600000000002,169.755,5,0.225,0.169,0.44,0,0.449,0.469
31,Canada (feat. Alessia Cara),~how i'm feeling~,Lauv,2020,57,184.008,93.237,9,0.352,0.145,0.635,0,0.622,0.259
32,Easy Love,I met you when I was 18. (the playlist),Lauv,2018,57,224.449,137.001,2,0.229,0.0808,0.745,3.67e-06,0.302,0.481
42,For Now,~how i'm feeling~,Lauv,2020,56,189.24,83.588,7,0.111,0.113,0.533,7.32e-06,0.783,0.226
29,Don't Matter - Recorded at Spotify Studios NYC,Spotify Singles,Lauv,2017,56,189.725,75.919,10,0.397,0.076,0.573,0,0.322,0.333
45,El Tejano (feat. Sofía Reyes),~how i'm feeling~,Lauv,2020,55,191.42600000000002,134.009,9,0.944,0.375,0.878,0,0.133,0.558
40,Adrenaline,I met you when I was 18. (the playlist),Lauv,2018,54,206.368,94.938,6,0.616,0.0741,0.644,2.57e-06,0.354,0.688
44,Paranoid,I met you when I was 18. (the playlist),Lauv,2018,54,192.529,107.969,2,0.132,0.149,0.701,0.000171,0.644,0.241
39,Bracelet,I met you when I was 18. (the playlist),Lauv,2018,54,262.103,114.007,7,0.274,0.224,0.652,0,0.195,0.737
38,Come Back Home,I met you when I was 18. (the playlist),Lauv,2018,53,231.774,123.519,10,0.327,0.142,0.435,1.17e-06,0.119,0.473
46,Sweatpants,~how i'm feeling~,Lauv,2020,52,196.04,159.97,10,0.733,0.154,0.719,0,0.0469,0.493
48,Believed,~how i'm feeling~,Lauv,2020,52,169.76,149.93,11,0.492,0.444,0.796,0,0.0758,0.518
49,Billy,~how i'm feeling~,Lauv,2020,52,180.293,176.802,2,0.428,0.088,0.783,0,0.045,0.324
47,Tell My Mama,~how i'm feeling~,Lauv,2020,51,166.70600000000002,139.973,0,0.489,0.108,0.88,0,0.19,0.498
3,i'm so tired...,i'm so tired...,Lauv,2019,8,162.582,102.211,11,0.534,0.242,0.599,0,0.176,0.733
27,Drugs & The Internet,Drugs & The Internet,Lauv,2019,5,178.549,89.134,2,0.216,0.332,0.454,1.06e-05,0.321,0.583
16,There's No Way (feat. Julia Michaels),There's No Way (feat. Julia Michaels),Lauv,2018,4,174.86,147.02,2,0.374,0.157,0.755,0,0.49,0.625
9,"fuck, i'm lonely","fuck, i'm lonely",Lauv,2019,4,198.973,95.016,9,0.678,0.0618,0.806,0,0.482,0.558
1,Feelings,Feelings,Lauv,2019,2,189.613,103.018,9,0.246,0.098,0.694,0,0.0934,0.466
17,Sad Forever,Sad Forever,Lauv,2019,2,203.507,117.319,5,0.389,0.0825,0.527,0,0.468,0.538
0,Love Somebody,Without You,Lauv,2020,1,142.773,83.366,7,0.373,0.0639,0.465,0,0.262,0.468
33,Sims,Mean It,Lauv,2019,0,155.07500000000002,99.714,2,0.567,0.0637,0.529,0,0.643,0.398
23,Tattoos Together,Tattoos Together,Lauv,2020,0,186.613,122.963,4,0.596,0.123,0.862,7.49e-06,0.00575,0.4
22,A Different Way (with Lauv),A Different Way (with Lauv),DJ Snake,2017,0,198.285,104.987,8,0.564,0.152,0.781,0,0.534,0.765
20,Modern Loneliness,~how i'm feeling~,Lauv,2020,0,252.33700000000002,82.008,8,0.143,0.108,0.702,0,0.144,0.508
13,Changes,Changes,Lauv,2020,0,160.186,148.182,2,0.204,0.237,0.532,0,0.452,0.455
12,Love Like That,~how i'm feeling~ (the extras),Lauv,2019,0,184.556,80.011,3,0.486,0.284,0.679,1.02e-05,0.208,0.481
4,Mean It,Mean It,Lauv,2019,0,232.853,95.998,7,0.336,0.172,0.746,0,0.0407,0.45
