,Name,Album,Artist,Year,Popularity,Duration,Tempo,Key,Valence,Liveness,Danceability,Instrumentalness,Acousticness,Energy
3,Believer,Evolve,Imagine Dragons,2017,87,204.346,124.949,10,0.666,0.081,0.776,0.0,0.0622,0.78
2,The Real Slim Shady,The Marshall Mathers LP,Eminem,2000,85,284.2,104.504,5,0.76,0.0454,0.949,0.0,0.0302,0.661
6,Happier,Happier,Marshmello,2018,84,214.28900000000002,100.015,5,0.671,0.167,0.687,0.0,0.191,0.792
9,Thunder,Evolve,Imagine Dragons,2017,84,187.14600000000002,167.997,0,0.288,0.147,0.605,0.134,0.00671,0.822
74,Highway to Hell,Highway to Hell,AC/DC,1979,84,208.4,115.728,6,0.423,0.156,0.574,0.00158,0.061,0.913
67,Counting Stars,Native,OneRepublic,2013,83,257.266,122.016,1,0.477,0.118,0.664,0.0,0.0654,0.705
46,Señorita,Señorita,Shawn Mendes,2019,83,190.96,116.947,9,0.75,0.0945,0.759,0.0,0.037,0.54
34,HUMBLE.,DAMN.,Kendrick Lamar,2017,82,177.0,150.011,1,0.421,0.0958,0.908,5.39e-05,0.000282,0.621
95,I Feel It Coming,Starboy,The Weeknd,2016,81,269.186,92.987,0,0.585,0.0679,0.773,0.0,0.428,0.819
22,Demons,Night Visions,Imagine Dragons,2012,81,177.506,89.938,3,0.428,0.269,0.505,0.00025,0.19,0.71
27,Natural,Origins (Deluxe),Imagine Dragons,2018,81,189.466,100.0,2,0.22,0.0812,0.704,0.0,0.217,0.611
38,ocean eyes,dont smile at me,Billie Eilish,2017,80,200.379,144.892,4,0.169,0.084,0.511,0.0317,0.816,0.363
66,Bad Liar,Origins (Deluxe),Imagine Dragons,2018,80,260.773,177.913,3,0.0827,0.368,0.383,0.0,0.0722,0.637
82,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),Sam Smith,2019,79,171.029,102.998,8,0.347,0.222,0.741,1.97e-06,0.45,0.52
52,Faded,Different World,Alan Walker,2018,79,212.106,179.642,6,0.159,0.11,0.468,7.97e-06,0.0281,0.627
83,Fireflies,Ocean Eyes,Owl City,2009,79,228.346,180.114,3,0.472,0.118,0.512,0.0,0.0275,0.662
68,Die Young,Warrior (Expanded Edition),Kesha,2012,78,211.92000000000002,128.001,1,0.801,0.215,0.711,0.000125,0.00498,0.7
35,Venom - Music From The Motion Picture,Kamikaze,Eminem,2018,78,269.55400000000003,135.959,0,0.46,0.543,0.749,0.0,0.0193,0.794
96,1-800-273-8255,Everybody,Logic,2017,78,250.173,100.023,5,0.357,0.19,0.62,0.0,0.569,0.574
70,Nice For What,Scorpion,Drake,2018,78,210.746,93.372,8,0.758,0.119,0.585,9.7e-05,0.0891,0.909
0,"Lose Yourself - From ""8 Mile"" Soundtrack",Just Lose It,Eminem,2004,77,322.226,171.355,2,0.0596,0.342,0.686,0.00066,0.00921,0.735
16,IDOL,Love Yourself 結 'Answer',BTS,2018,77,222.732,126.035,9,0.422,0.123,0.734,0.0,0.00481,0.855
1,On My Way,On My Way,Alan Walker,2019,76,193.797,170.087,1,0.297,0.301,0.509,0.0,0.0209,0.689
69,Crank That (Soulja Boy),souljaboytellem.com,Soulja Boy,2007,76,221.933,140.141,0,0.803,0.0468,0.736,0.0,0.515,0.74
80,Lucky You (feat. Joyner Lucas),Kamikaze,Eminem,2018,75,244.679,153.068,10,0.575,0.127,0.876,0.0,0.0627,0.786
87,Stronger (What Doesn't Kill You),Stronger (Deluxe Version),Kelly Clarkson,2011,75,221.946,116.044,0,0.684,0.112,0.562,0.0,0.046,0.939
30,Lily,Different World,Alan Walker,2018,75,195.84,150.978,6,0.467,0.189,0.423,0.0,0.196,0.634
50,Immortals,American Beauty/American Psycho,Fall Out Boy,2015,75,189.386,108.016,2,0.475,0.671,0.616,1.54e-06,0.00131,0.868
7,Epiphany,Love Yourself 結 'Answer',BTS,2018,75,240.36100000000002,135.879,2,0.327,0.131,0.509,0.0,0.29,0.558
20,Ignite,Ignite,K-391,2018,73,210.288,90.008,8,0.479,0.192,0.681,3.98e-06,0.0208,0.864
97,Criminal,Femme Fatale (Deluxe Version),Britney Spears,2011,73,225.08,107.987,7,0.711,0.183,0.696,0.0,0.0485,0.734
13,Killshot,Killshot,Eminem,2018,72,253.579,105.835,0,0.6,0.371,0.893,0.0,0.0995,0.651
26,Play,Play,K-391,2019,72,167.976,101.944,6,0.168,0.0932,0.52,0.0,0.101,0.798
45,Sick Boy,Sick Boy,The Chainsmokers,2018,71,193.20000000000002,89.996,11,0.454,0.12,0.663,0.0,0.109,0.577
18,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Origins (Deluxe),Imagine Dragons,2018,70,210.933,90.011,6,0.244,0.111,0.634,0.00142,0.000479,0.662
93,Uma Thurman,American Beauty/American Psycho,Fall Out Boy,2015,69,211.573,149.963,4,0.676,0.264,0.623,0.000174,0.103,0.962
43,The Ringer,Kamikaze,Eminem,2018,69,337.94100000000003,118.552,1,0.42,0.192,0.939,0.0,0.0311,0.551
78,Bad Liar,Bad Liar,Selena Gomez,2017,69,214.647,121.032,1,0.728,0.0767,0.965,0.0,0.189,0.414
23,Wavin' Flag - Coca-Cola® Celebration Mix,Troubadour (Champion Edition - Asian Version),K'NAAN,2009,68,212.52,151.845,0,0.776,0.0518,0.58,0.0,0.313,0.767
8,"Ghungroo (From ""War"")","Ghungroo (From ""War"")",Arijit Singh,2019,68,302.935,118.034,6,0.864,0.533,0.695,0.000175,0.0744,0.727
15,Sugar,V (Asia Tour Edition),Maroon 5,2015,67,235.493,120.076,1,0.884,0.0863,0.748,0.0,0.0591,0.788
76,Kamikaze,Kamikaze,Eminem,2018,67,216.029,79.982,2,0.642,0.329,0.78,0.0,0.112,0.808
48,Spectre,Spectre,Alan Walker,2015,67,230.63400000000001,127.946,4,0.424,0.125,0.804,0.331,0.000875,0.758
4,All Falls Down (feat. Juliander),Different World,Alan Walker,2018,66,198.88,98.005,1,0.675,0.312,0.655,0.0,0.253,0.672
47,Greatest,Kamikaze,Eminem,2018,66,226.937,80.025,1,0.367,0.341,0.809,0.0,0.0441,0.737
37,Darkside,Darkside,Alan Walker,2018,66,211.866,170.008,4,0.112,0.118,0.425,0.0,0.164,0.642
61,Wave,TREASURE EP.3: One To All,ATEEZ,2019,66,203.933,99.968,1,0.447,0.123,0.624,1.1e-05,0.0886,0.86
91,Angel With a Shotgun,Symphony Soldier,The Cab,2011,65,223.092,124.037,2,0.394,0.179,0.543,0.0,0.00471,0.84
44,Say My Name,TREASURE EP.2: Zero To One,ATEEZ,2019,65,222.023,152.968,6,0.623,0.317,0.634,0.0,0.212,0.9
94,Outro: Tear,Love Yourself 轉 'Tear',BTS,2018,65,284.98,140.015,6,0.467,0.0887,0.711,0.0,0.327,0.903
24,I Wouldn't Mind,Fall out of Line,He Is We,2017,64,200.059,108.092,0,0.434,0.0925,0.561,0.0,0.794,0.289
25,Me Voy Enamorando - Remix,Radio Universo,Chino & Nacho,2015,64,215.8,99.963,10,0.547,0.347,0.708,0.0,0.0894,0.87
84,Legacy,The Marshall Mathers LP2 (Deluxe),Eminem,2013,62,296.269,164.125,9,0.534,0.197,0.664,0.0,0.276,0.899
57,Normal,Kamikaze,Eminem,2018,62,222.477,120.995,6,0.803,0.0785,0.907,0.0,0.261,0.64
77,Let the Games Begin,Let the Games Begin,AJR,2015,62,201.004,135.023,10,0.573,0.118,0.664,0.0,0.127,0.698
88,Stepping Stone,Kamikaze,Eminem,2018,62,309.637,179.503,7,0.312,0.376,0.616,0.0,0.0305,0.684
53,Bleeding Out,Night Visions,Imagine Dragons,2012,62,223.16,169.444,5,0.331,0.0986,0.227,0.0,0.0146,0.759
79,Breathe,I met you when I was 18. (the playlist),Lauv,2018,62,237.81,136.746,4,0.193,0.341,0.32,0.0,0.728,0.393
86,Moves Like Jagger - Studio Recording From The Voice Performance,Hands All Over (Revised Asia Standard Version),Maroon 5,2010,61,201.493,128.044,11,0.624,0.315,0.722,0.0,0.0117,0.761
89,Alone Together,Save Rock And Roll,Fall Out Boy,2013,60,203.413,90.013,4,0.606,0.206,0.552,3.74e-05,0.0013,0.915
40,Apna Time Aayega,Gully Boy,Various Artists,2019,60,140.463,95.054,11,0.513,0.181,0.766,0.000115,0.0187,0.618
90,Armor,Armor,Landon Austin,2014,59,212.066,155.947,8,0.31,0.0997,0.528,0.0,0.157,0.684
59,Paul - Skit,Kamikaze,Eminem,2018,57,35.24,161.68,11,0.561,0.342,0.636,0.0,0.993,0.335
55,Treasure,TREASURE EP.1: All to Zero,ATEEZ,2018,57,220.846,133.966,6,0.654,0.081,0.657,0.0,0.0827,0.866
19,Look What You Made Me Do,reputation (Big Machine Radio Release Special),Taylor Swift,2017,57,211.853,128.07,9,0.506,0.126,0.766,1.41e-05,0.204,0.709
81,Dilbar,Satyameva Jayate,Various Artists,2018,57,184.43200000000002,104.054,9,0.674,0.107,0.725,7.68e-05,0.155,0.912
98,Kamariya,Mitron (Original Motion Picture Soundtrack),Various Artists,2018,57,251.64000000000001,62.481,7,0.405,0.281,0.337,0.0,0.284,0.963
72,Beerus,New Age,KSI,2019,57,211.20000000000002,125.064,3,0.584,0.164,0.632,0.0107,0.0282,0.823
60,The Breakup Song,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Pritam,2016,56,252.631,113.988,11,0.831,0.658,0.818,0.0,0.33,0.93
62,Tune Kaha,Tune Kaha,Prateek Kuhad,2016,56,216.885,187.291,3,0.431,0.237,0.362,0.00481,0.015,0.763
64,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Arijit Singh Broken Strings,Arijit Singh,2019,56,264.805,83.978,10,0.309,0.102,0.559,4.66e-06,0.34,0.541
63,Uyiril Thodum,Kumbalangi Nights (Original Motion Picture Soundtrack),Sushin Shyam,2019,53,234.929,107.895,4,0.275,0.0956,0.66,0.000218,0.719,0.411
