    ,Name                                                        ,Album                                                            ,Artist                        ,Year ,Popularity ,Duration
0   ,That's the Tories                                           ,That's the Tories                                                ,Jimongus.                     ,2019 ,7          ,175.411
1   ,Pop Game                                                    ,Pop Game                                                         ,Yam Haus                      ,2020 ,36         ,142.851
2   ,The Emperor                                                 ,The Emperor                                                      ,Young Summer                  ,2020 ,15         ,256.466
3   ,Yokogao (Profile)                                           ,Piano Nightly                                                    ,Akiko Yano                    ,2005 ,30         ,159.53300000000002
4   ,Stress                                                      ,Noplace Like Nowhere                                             ,Jim's Big Ego                 ,2000 ,41         ,253.20000000000002
5   ,Don't Call It a Western                                     ,Rent to Own                                                      ,Brites                        ,2020 ,1          ,275.919
6   ,I Wanna Boy                                                 ,"Crush, Boyfriend, Heartbreak"                                   ,The Unlovables                ,2004 ,6          ,145.32
7   ,Take a Breath                                               ,Take a Breath                                                    ,Scoobert Doobert              ,2020 ,9          ,214.672
8   ,Willow                                                      ,Willow                                                           ,The Q-Tip Bandits             ,2019 ,40         ,262.375
9   ,Вечер грустных пар                                          ,Вечер Грустных Пар                                               ,Ploho                         ,2018 ,33         ,203.30700000000002
10  ,Spellbound                                                  ,Spellbound                                                       ,Pinc Louds                    ,2020 ,22         ,224.43800000000002
11  ,Revolutionary Poems                                         ,Elementary Tunes                                                 ,Vincent Adara                 ,2020 ,0          ,162.95600000000002
12  ,chaos effect                                                ,ALTER EGO                                                        ,Dual Alter World              ,2019 ,6          ,223.76
13  ,Black Light                                                 ,pop songs 2020                                                   ,BUMPER                        ,2020 ,35         ,207.535
14  ,Baby You Got It                                             ,Baby You Got It                                                  ,Brenton Wood                  ,1967 ,50         ,128.546
15  ,'Tis I! the Good Boy!                                       ,Familiaris                                                       ,Snooze                        ,2019 ,8          ,184.6
16  ,In My Dip                                                   ,Pleasure Dip                                                     ,Tube & Berger                 ,2013 ,25         ,422.451
17  ,Dunkirk                                                     ,Fad                                                              ,Silverbacks                   ,2020 ,33         ,188.775
18  ,Mind Doodles - Monolink Remix                               ,Mind Doodles (Monolink Remix)                                    ,Gabriel Vitel                 ,2019 ,44         ,223.728
19  ,My Boat                                                     ,Camphor & Copper (Bonus Track Version)                           ,Melissa Laveaux               ,2008 ,36         ,259.6
20  ,Jupiter Rose                                                ,Jupiter Rose                                                     ,Banquet                       ,2016 ,2          ,312.178
21  ,Till The Cows Come Home                                     ,Shave 'Em Dry: The Best Of Lucille Bogan                         ,Lucille Bogan                 ,1933 ,34         ,172.973
22  ,Divided by Hate                                             ,Divided by Hate                                                  ,Inner Sanctum                 ,2020 ,14         ,329.79200000000003
23  ,I Am Shell I Am Bone                                        ,The Entire City                                                  ,Gazelle Twin                  ,2011 ,33         ,283.004
24  ,Spaceboy                                                    ,Dr. Steel                                                        ,Dr. Steel                     ,2001 ,13         ,216.133
25  ,Echoes of Dreams                                            ,Echoes of Dreams                                                 ,Zephyr Deer                   ,2020 ,15         ,147.20000000000002
26  ,Sick and Tired                                              ,The World Doth Hath Forgotten                                    ,Cyberesme                     ,2021 ,0          ,160.0
27  ,Saucer In The Sky                                           ,Valleyview                                                       ,Space Park                    ,2020 ,2          ,293.964
28  ,Universal Soulmate                                          ,Sensational Sailing                                              ,Toaster Cabbage Sex           ,2021 ,15         ,157.36
29  ,"Edward, the Mad Shirt Grinder"                             ,Live At Winterland 1970                                          ,Quicksilver Messenger Service ,2011 ,36         ,409.62600000000003
30  ,Anytime You Want                                            ,We Can Get Together                                              ,Sean Costello                 ,2014 ,30         ,220.81300000000002
31  ,Never Alone - Live                                          ,Hope Album                                                       ,Timothy Switalski             ,2016 ,0          ,180.035
32  ,I Want to Dance Again                                       ,I Want to Dance Again                                            ,The Subs                      ,2020 ,44         ,392.54
33  ,PKD                                                         ,Far From This World                                              ,Orchid Mantis                 ,2020 ,16         ,208.915
34  ,Null Void                                                   ,Null Void                                                        ,Ghost Echo                    ,2020 ,4          ,304.79
35  ,Heavy Lifting                                               ,Heavy Lifting                                                    ,Roxanne de Bastion            ,2020 ,5          ,215.853
36  ,Dance Away These Days (Sly Chaos Remix)                     ,Dance Away These Days (Sly Chaos Remix)                          ,Harper Finn                   ,2020 ,32         ,289.462
37  ,Embracing Hearts                                            ,666 Metal                                                        ,Black Infinity                ,2018 ,4          ,330.598
38  ,Snake Bite Memorial                                         ,Regular Uplifting Songs                                          ,Paul Swartzel                 ,2020 ,0          ,70.916
39  ,Butterflies                                                 ,Butterflies                                                      ,Kenzo                         ,2019 ,32         ,221.418
40  ,Better Drugs                                                ,Better Drugs                                                     ,Laura Dreyfuss                ,2019 ,3          ,172.338
41  ,Personal Universe                                           ,Immerse in Infinity                                              ,Lost Soul                     ,2009 ,6          ,367.786
42  ,long txts                                                   ,long txts                                                        ,Lubalin                       ,2021 ,49         ,132.562
43  ,On the Moon                                                 ,Meat Me Down The Disco (Mixed by Horse Meat Disco)               ,Horse Meat Disco              ,2017 ,2          ,423.743
44  ,An Angel of Great and Terrible Light                        ,The Origin of My Depression                                      ,Uboa                          ,2019 ,21         ,517.333
45  ,Cheap Cologne                                               ,Cheap Cologne                                                    ,Jordan Jeremiah               ,2020 ,10         ,201.6
46  ,Hibernation - Destroyed by Bears                            ,Charred Field of Slaughter                                       ,Bear Mace                     ,2020 ,10         ,315.409
47  ,You and Me Both                                             ,You and Me Both                                                  ,adam brian paul               ,2020 ,24         ,170.921
48  ,Everyone Is Sick                                            ,Sono Pronta a Morire                                             ,Tørsö                         ,2015 ,28         ,111.087
49  ,Hichki                                                      ,Achint & The Khan Brothers                                       ,Achint                        ,2018 ,4          ,170.454
50  ,On Your Mind                                                ,On Your Mind                                                     ,Emi Choi                      ,2020 ,27         ,162.0
51  ,Hollow                                                      ,Ursula                                                           ,Ursula                        ,2019 ,3          ,200.866
52  ,Dancing in the Ashes                                        ,Heaven That Dwells Within                                        ,Wormwitch                     ,2019 ,19         ,283.44
53  ,Billy Block and the Terrible Horrible No Good Very Bad Year ,"Billy Block and the Terrible, Horrible, No Good, Very Bad Year" ,Radio for Pets                ,2020 ,2          ,216.98600000000002
54  ,FOMO                                                        ,FOMO                                                             ,TOLEDO                        ,2020 ,2          ,219.381
55  ,To Get Along Alone                                          ,Pan                                                              ,Pan                           ,1970 ,1          ,348.0
56  ,And Here We Are (Again Maybe)                               ,2012                                                             ,World Blanket                 ,2012 ,0          ,290.146
57  ,Frozen Hell                                                 ,Awaiting Evil                                                    ,Hatchet                       ,2008 ,4          ,261.493
58  ,The Girls                                                   ,The Girls                                                        ,Albertine Sarges              ,2020 ,21         ,259.449
59  ,Rainbow Sunslide                                            ,Grass and Other Greener Greens                                   ,The Senescent Sunfish         ,2020 ,8          ,181.04500000000002
60  ,What You Need                                               ,What You Need                                                    ,Gloria Kim                    ,2019 ,12         ,173.306
61  ,Мертвец                                                     ,Чёрный свет                                                      ,Суперкульт                    ,2020 ,1          ,300.833
62  ,My Everything                                               ,The Wakefield Session                                            ,Bluebird                      ,2020 ,0          ,275.91
63  ,Golden Age                                                  ,Golden Age                                                       ,Ethel Cain                    ,2019 ,37         ,364.344
64  ,Love Has Spoken                                             ,Morning Music                                                    ,Khari Lemuel                  ,2009 ,2          ,248.773
65  ,L'amour fou                                                 ,Mémoires vives                                                   ,Grand Blanc                   ,2016 ,37         ,293.84000000000003
